,p_max,p_min,p_avg,p_std,p_var,p_mid,vx_max,vx_min,vx_avg,vx_std,vx_var,vx_mid,vy_max,vy_min,vy_avg,vy_std,vy_var,vy_mid
0_0,0.9899008,-1.2528658,-0.11994022,0.33497536,0.112208486,0.009139121,134.40453,0.0,87.72008,22.213705,493.44867,87.92914,78.16926,-33.951138,2.6272023,12.168826,148.08034,1.4061706
0_1,0.97822994,-1.0414842,-0.14027415,0.34365252,0.118097045,0.038152725,128.33592,0.0,87.9318,23.806465,566.74774,88.78445,69.90894,-39.984764,2.9176862,12.978964,168.4535,2.1970978
0_2,0.99867105,-1.3294433,-0.12114188,0.32528087,0.105807655,0.048480734,134.80135,0.0,87.86653,22.110878,488.89093,88.411514,81.95983,-32.320213,2.4959216,11.686816,136.58168,1.908781
0_3,1.0045053,-1.5051509,-0.14000426,0.35523906,0.12619479,-0.051219855,141.2387,0.0,86.795456,24.734163,611.7788,90.21093,80.819016,-41.182716,2.6711636,13.783466,189.98395,1.7629946
0_4,0.9862698,-0.86783737,-0.11839592,0.3090887,0.09553582,-0.005823314,121.73338,0.0,87.73232,21.360844,456.28568,88.54602,75.4104,-28.741835,2.7552845,11.142135,124.147156,2.2947419
0_5,0.9488105,-1.0598274,-0.12778282,0.32740355,0.10719309,-0.018329818,128.80476,0.0,88.265366,22.058498,486.5774,89.0029,73.196014,-26.933056,2.630591,12.114504,146.7612,1.8864857
0_6,1.0018276,-1.1829547,-0.1429683,0.36755985,0.13510025,0.026294969,133.97073,0.0,87.51397,24.58599,604.47095,88.852264,76.08893,-38.688778,2.7509696,13.654378,186.44203,1.767931
0_7,0.99570507,-1.3502159,-0.13354203,0.340191,0.11572993,0.031505417,135.89195,0.0,87.48241,23.87144,569.8457,88.634186,78.62539,-38.981293,2.575135,12.731653,162.09499,2.1209052
0_8,0.9553703,-1.0248688,-0.12019089,0.3163862,0.10010022,-0.012640456,123.98432,0.0,87.18949,22.55763,508.8467,89.001526,79.333916,-28.358288,2.6962051,11.491001,132.0431,2.6314015
0_9,0.98960745,-1.2107751,-0.12875769,0.3409262,0.116230674,0.009297729,128.41025,0.0,88.09147,22.782396,519.0376,88.45026,83.56926,-34.395603,2.533633,12.495049,156.12627,2.1170013
0_10,0.9971881,-1.1525838,-0.14913674,0.3718623,0.13828155,-0.007093228,133.01376,-1.3201352,87.60473,25.20899,635.4932,88.68371,77.94028,-31.978916,3.4080513,13.612347,185.29599,2.9213037
0_11,0.9763006,-1.1003864,-0.12976858,0.34110272,0.11635107,0.018953826,129.06992,0.0,87.84268,22.954437,526.9062,88.11653,74.59896,-35.271217,2.6647398,12.753769,162.65862,1.7920182
0_12,0.9907156,-1.2565078,-0.14348264,0.3563044,0.12695283,0.032227997,136.26978,0.0,87.54873,24.362545,593.5336,89.20793,65.988335,-43.392246,2.848482,13.781834,189.93893,2.9082572
0_13,1.0084662,-1.4446449,-0.1449432,0.38713303,0.14987198,0.016628988,140.86539,0.0,85.09772,28.169214,793.50464,88.82618,74.746506,-47.35252,3.326468,14.44791,208.74211,2.6120963
0_14,0.99841875,-1.4680963,-0.12172605,0.35089839,0.12312967,0.025306512,140.24577,0.0,85.15298,24.711542,610.66034,89.19624,76.11321,-39.278896,2.376911,12.683183,160.86311,1.7194822
0_15,0.9983013,-1.4173616,-0.120928526,0.33040422,0.10916696,0.030763183,134.5469,0.0,87.26188,23.467867,550.7408,88.05675,86.217964,-32.614666,2.67105,11.637893,135.44054,2.2239451
0_16,0.97535914,-0.9311818,-0.119525515,0.31852153,0.101455964,0.040287975,124.82379,0.0,87.616806,22.135733,489.9907,89.10636,65.807686,-32.871017,2.3813632,11.789217,138.98564,1.8994457
0_17,0.9947162,-1.4852875,-0.15246838,0.3983209,0.15865955,0.023937186,142.9141,0.0,87.36512,25.437943,647.0889,88.32003,58.882545,-37.388966,3.252962,14.923131,222.69984,3.000207
0_18,0.99730074,-1.3871341,-0.112543024,0.30123976,0.0907454,0.03424754,134.26451,0.0,87.91645,21.345297,455.62167,87.82651,87.06952,-38.594627,2.724685,10.84298,117.57021,2.349561
0_19,0.94349116,-1.1843209,-0.14405465,0.34960037,0.12222042,-0.0030471692,132.63132,-1.6367036,87.77194,23.61837,557.8274,89.38474,58.966938,-29.29396,2.9311628,13.333036,177.76985,2.8508663
0_20,0.9431896,-1.2613258,-0.14469482,0.36700627,0.13469361,-0.006961662,135.67984,0.0,88.49579,22.895136,524.18726,89.41351,64.78132,-25.16695,2.6780944,13.770842,189.63608,2.5233116
0_21,0.97815543,-0.9787469,-0.12284694,0.29320976,0.08597196,-0.007779644,124.47467,0.0,87.849014,21.776606,474.22055,89.80128,73.74381,-31.434729,2.5380356,11.179064,124.97147,2.5754125
0_22,0.99692714,-1.0390334,-0.13636105,0.34619632,0.11985189,0.031766582,129.66412,0.0,86.959045,25.148224,632.43317,88.88576,75.29596,-41.021782,2.8583035,12.828307,164.56548,2.2247427
0_23,0.9810918,-1.0858144,-0.11945219,0.3035401,0.09213661,-0.020814048,129.29271,0.0,87.33754,22.172035,491.59915,89.66767,67.37207,-33.37175,2.4068508,11.616469,134.94235,1.7870659
